关系类型,人物1,人物2,方向,章节,上下文
封赏,今上,长子,→,087_李斯列传,"与$丞相$谋之。""@高@乃谓$丞相@斯@$曰:""上崩,赐@长子@书,与丧会=咸阳=而立为嗣。书未行,@今上@崩,未有知者也。所赐@长子@书及符*玺*皆在$@胡亥@$所,定$太子$在君侯与@高@之口耳。"
封赏,李斯,赵高,→,087_李斯列传,"兔〙,岂可得乎!""遂父子相哭,而【夷三族】。  ## [18] @赵高@杀@二世@  [18.1] @李斯@已死,$@二世@$拜@赵高@为$中丞相$,事无大小辄决於@高@。@高@自知权重,乃献〘鹿〙,"
封赏,言告,扁鹊,→,105_扁鹊仓公列传,"世%而亡。~嬴~姓将大败~周~人於=范魁=之西，而亦不能有也。""""@董安于@受言，书而藏之。以@扁鹊@言告@简子@，@简子@赐@扁鹊@田%四万%亩。  ### [1.3] 治虢太子尸蹶  其後@扁鹊@"
封赏,惠王,齐桓公,→,004_周本纪,栎=。立@釐王弟穨@为王。乐及遍舞，&郑&、&虢&君怒。%四年%，&郑&与&虢&君伐杀@王穨@，复入@惠王@。@惠王@%十年%，赐@齐桓公@为伯。  [45] %二十五年%，@惠王@崩，子@襄王郑@立
封赏,纳王而诛,晋文公,→,004_周本纪,王于=氾=。@子带@立为王，取@襄王@所绌翟后与居=温=。%十七年%，@襄王@告急于&晋&，@晋文公@纳王而诛@叔带@。@襄王@乃赐@晋文公@珪鬯*弓矢*，为伯，以=河内=地与&晋&。%二十年%，@晋
封赏,礼,礼,→,050_楚元王世家,"老人!也，宜为宗室顺善。今乃首率&七国&，纷乱〔天下〕，柰何续其後！""不许&吴&，许立&楚&後。是时@礼@为&汉&$宗正$。乃拜@礼@为$楚王$，奉$@元王@$^宗庙^，是为$@楚文王@$。  ## "
封赏,皇太后,嫣,→,125_佞幸列传,"后@泣曰：""请得归国入宿卫，比@韩嫣@。""@太后@由此嗛@嫣@。@嫣@侍上，出入^永巷^不禁，以奸闻@皇太后@。@皇太后@怒，使使赐@嫣@死。上为谢，终不能得，@嫣@遂死。而@案道侯@@韩说@，其弟也"
封赏,王孙,婴,→,107_魏其武安侯列传,"@毋如@窦婴@贤，乃召@婴@。@婴@入见，固辞谢病不足任。@太后@亦惭。於是上曰：""〔天下〕方有急，@王孙@宁可以让邪？""乃拜@婴@为$大将军$，赐金%千%斤。@婴@乃言@袁盎@、@栾布@诸名将贤士在"
封赏,孝文皇帝,婴,→,095_樊郦滕灌列传,$绛侯$等既诛诸@吕@，&齐&王罢兵归，@婴@亦罢兵自=荥阳=归，与$绛侯$、@陈平@共立&代&王为@孝文皇帝@。@孝文皇帝@於是益封@婴@三%千户%，赐*黄金*%千斤%，拜为$太尉$。  [33] 
封赏,沛公,哙,→,095_樊郦滕灌列传,矣。是日微@樊哙@饹入营谯让@项羽@，@沛公@事几殆。  [4] %明日%，@项羽@入屠=咸阳=，立@沛公@为&汉&王。&汉&王赐@哙@爵为@列侯@，号$临武侯$。迁为$郎中$，从入=汉中=。  ##
封赏,沛公,商,→,095_樊郦滕灌列传,。从攻下=宛=、=穰=，定十七县。@别将@攻=旬关=，定=汉中=。  [12] @项羽@灭&秦&，立@沛公@为&汉&王。&汉&王赐@商@爵$信成君$，以将军为$陇西都尉$。@别将@定&北地&、&上郡&
封赏,沛公,婴,→,095_樊郦滕灌列传,复奉车从攻=南阳=，战於=蓝田=、=芷阳=，以*兵车*趣攻战疾，至=霸上=。@项羽@至，灭&秦&，立@沛公@为&汉&王。&汉&王赐@婴@爵@列侯@，号$昭平侯$，复为$太仆$，从入=蜀=、=汉=。  
封赏,鲁元,婴,→,095_樊郦滕灌列传,"=沛=，常为$太仆$，竟@高祖@崩。以$太仆$事@孝惠@。@孝惠帝@及@高后@德@婴@之脱@孝惠@、@鲁元@於=下邑=之间也，乃赐@婴@县北第第一，曰""近我""，以尊异之。@孝惠帝@崩，以$太仆$事@高"
封赏,灌婴,灌婴,→,095_樊郦滕灌列传,"$骑将$。&汉&王欲拜之，@必@、@甲@曰：""臣故&秦&民，恐军不信臣，臣原得大王左右善骑者傅之。""@灌婴@虽少，然数力战，乃拜@灌婴@为$中大夫$，令@李必@、@骆甲@为左右$校尉$，将$郎中$骑兵"
封赏,於单,於单,→,110_匈奴列传,单于$死。@军臣@$单于$弟$左谷蠡王$@伊稚斜@自立为$单于$，攻破@军臣@$单于$太子@於单@。@於单@亡降&汉&，&汉&封@於单@为$涉安侯$，%数月%而死。  ## [27] @伊稚斜@$单于
封赏,成,成,→,122_酷吏列传,"郡守$。$御史大夫$@弘@曰：""臣居=山东=为小吏时，@宁成@为$济南都尉$，其治如*狼*牧*羊*。@成@不可使治民。""上乃拜@成@为$关都尉$。%岁馀%，=关东=吏隶郡国出入关者，号曰""宁见*乳虎*"
封赏,吕马童,王翳,→,007_项羽本纪,@、@杨武@各得其一体。  [184.1] 五人共会其体，皆是。故分其地为五：  [184.2] 封@吕马童@为&中水&侯，封@王翳@为&杜衍&侯，封@杨喜@为@赤泉侯@，封@杨武@为&吴防&侯，封@
封赏,杨喜,杨武,→,007_项羽本纪,会其体，皆是。故分其地为五：  [184.2] 封@吕马童@为&中水&侯，封@王翳@为&杜衍&侯，封@杨喜@为@赤泉侯@，封@杨武@为&吴防&侯，封@吕胜@为&涅阳&侯。  ## 尾声  ### 鲁地
封赏,简子,扁鹊,→,043_赵世家,"虞舜〛之勋，適余将以其胄女@孟姚@配而%七世%之孙。'""@董安于@受言而@书@藏之。以@扁鹊@言告$@简子@$，$@简子@$赐@扁鹊@田四万亩。  [7.3] 他日，$@简子@$出，有人当道，辟之不去"
封赏,武庚禄父,叔旦,→,035_管蔡世家,&@纣@，平〔天下〕，封$功臣$昆弟。於是封@叔鲜@於=管=，封@叔度@於=蔡=：%二人%相@纣@子@武庚禄父@，治&殷&遗民。封@叔旦@於&鲁&而相&周&，为$周公$。封@叔振铎@於=曹=，封@叔武
封赏,叔振铎,叔武,→,035_管蔡世家,於=蔡=：%二人%相@纣@子@武庚禄父@，治&殷&遗民。封@叔旦@於&鲁&而相&周&，为$周公$。封@叔振铎@於=曹=，封@叔武@於=成=，封@叔处@於=霍=。@康叔封@、@厓季载@皆少，未得封。  
封赏,叔处,、,→,035_管蔡世家,治&殷&遗民。封@叔旦@於&鲁&而相&周&，为$周公$。封@叔振铎@於=曹=，封@叔武@於=成=，封@叔处@於=霍=。@康叔封@、@厓季载@皆少，未得封。  ## 管蔡作乱与@周公@东征  [3.3]
封赏,周公,胡,→,035_管蔡世家,。其子曰@胡@，@胡@乃改行，率德驯善。@周公@闻之，而举@胡@以为&鲁&$卿士$，&鲁&国治。於是@周公@言於@成王@，复封@胡@於=蔡=，以奉@蔡叔@之祀，是为@蔡仲@。馀五叔皆就国，〔无为〕$天
封赏,武王,叔振铎,→,035_管蔡世家,故附之〔世家〕言。  ## @曹叔振铎受封@  [24.24] @曹叔振铎@者，&周&@武王@弟也。@武王@已克&殷&@纣@，封@叔振铎@於=曹=。  ## @曹国早期世系@  [25.25] @叔振
封赏,臧兒,田蚡,→,049_外戚世家,[10] @景帝@〔诸子〕  [10.1] $@景帝@$崩，$太子$袭号为$皇帝$。尊$皇太后$母$@臧兒@$为$@平原君@$。封@田蚡@为$@武安侯@$，@胜@为$@周阳侯@$。  [10.2] $
封赏,、,熊绎,→,040_楚世家,@熊狂@生@熊绎@。  ## @熊绎@受封与早期世系  [2.4] @熊绎@当@周成王@之时，举@文@、@武@勤劳之後嗣，而封@熊绎@於~楚蛮~，封以$子男$之田，姓&琇氏&，居=丹阳=。@楚子熊绎@
封赏,信约从亲相坚者,武安君,→,070_张仪列传,%数月%而=宋=可举，举=宋=而东指，则=泗上=十二诸侯尽王之有也。  [31] “凡〔天下〕@而以@信约从亲相坚者@苏秦@，封@武安君@，相=燕=，即阴与=燕=王谋伐破=齐=而分其地；乃详有罪出走入
封赏,张仪,仪,→,070_张仪列传,=秦=王必喜。夫攻=楚=以利其地，转祸而说=秦=，计无便於此者。”  [38] =韩=王听@仪@计。@张仪@归报，@秦惠王@封@仪@五邑，号曰$武信君$。使@张仪@东说@齐湣王@曰：“〔天下〕彊国无过
封赏,代王,伯鲁,→,015_六国年表,  二十。公将师与~绵诸~战。  |    |    |  @襄子@。$元年$未除服，登=夏屋=，诱@代王@，以金斗杀@代王@。封@伯鲁@@子周@为@代成君@。  |  三十二。蔡@声侯@卒。  | 
封赏,种,种,→,041_越王句践世家,"可与共患难，不可与共乐。子何不去？""  [17.2] @种@见书，称病不朝。  [17.3] 人或谗@种@且作乱，$越王$乃赐@种@*剑*曰：  > ""子教寡人伐&吴&七术，寡人用其三而败&吴&，其四"
封赏,田荣,彭越,→,090_魏豹彭越列传,野=中，收&魏&散卒。@项籍@入关，王诸侯，还归，@彭越@众%万馀人%毋所属。%汉元年秋%，&齐&王@田荣@畔@项王@，乃使人赐@彭越@将军印，使下=济阴=以击&楚&。&楚&命@萧公角@将兵击@越@，
封赏,齐王,主父,→,112_平津侯主父列传,"=朔方郡=。  ## [17] $齐相$逼死@齐王@  [17.1] &元朔&%二年%,@主父@言$@齐王@$内淫佚行僻,$上$拜@主父@为$齐相$。  [17.2] 至&齐&,遍召昆弟宾客,散五百*"
封赏,阖闾,专诸,→,086_刺客列传,"。左右亦杀@专诸@,王人扰乱。$@公子光@$出其伏甲以攻$@王僚@$之徒,尽灭之,遂自立为王,是为$@阖闾@$。$@阖闾@$乃封@专诸@之子以为$上卿$。  ## [3] @豫让@  ### [3.1"
封赏,太上皇,释之,→,018_高祖功臣侯者年表,成  |  以@吕后@兄初起以客从，击=三秦=。@汉王@入汉，而@释之@还=丰沛=，奉卫吕@宣王@、@太上皇@。〔天下〕已平，封@释之@为$建成侯$。  |  七。%六年%%正月%%丙戌%，@康侯@@
封赏,$将以书社地七,孔子,→,047_孔子世家,"$@楚昭王@$兴师迎@孔子@，然後得免。  ## [25] @楚昭王欲封@  [25.1] $@昭王@$将以书社地七@百里@封@孔子@。&楚&$令尹@子西@$曰：""王之使使诸侯有如@子贡@者乎？""曰："
封赏,汉王,宽,→,098_傅靳蒯成列传,=，及击@杨熊@=曲遇=、=阳武=，【斩首】十二级，〈赐爵〉$卿$。从至=霸上=。$@沛公@$立为$@汉王@$，$@汉王@$赐@宽@封号$@共德君@$。从入=汉中=，迁为$右骑将$。从定&三秦&，〈赐
封赏,沛公,歙,→,098_傅靳蒯成列传,君@$。又战=蓝田=北，斩$车司马$%二人%，$骑长$一人，首二十八级，捕虏五十七人。至=霸上=。$@沛公@$立为$@汉王@$，赐@歙@爵$@建武侯@$，迁为$骑都尉$。  [2.2] 从定&三秦&。
封赏,蔡叔,康叔,→,033_鲁周公世家,"@等果率~淮夷~而反。@周公@乃奉$@成王@$命,兴师东伐,作^大诰^。遂诛@管叔@,杀@武庚@,放@蔡叔@。收&殷&馀民,以封@康叔@於&卫&,封@微子@於&宋&,以奉&殷&祀。宁~淮夷~东土,%二"
封赏,$已克&殷&,纣,→,037_卫康叔世家,也。其次尚有@厓季@，@厓季@最少。   ## [2] @康叔受封治殷遗民@  [2.2] $@武王@$已克&殷&@纣@，复以&殷&馀民封@纣@子@武庚禄父@，比诸侯，以奉其先祀勿绝。为@武庚@未集，
封赏,苏建,建,→,111_卫将军骠骑列传,"王$。遂以=河南=地为=朔方郡=。  [4.5] 以三千八百户封@青@为$@长平侯@$。@青@$校尉@苏建@$有功,以千一百户封@建@为$@平陵侯@$。使@建@筑=朔方城=。@青@$校尉@张次公@$有"
封赏,涉轵侯,不虞,→,111_卫将军骠骑列传,"尉@李朔@$、$校尉@赵不虞@$、$校尉@公孙戎奴@$,各三从$大将军$获王,以千三百户封@朔@为$@涉轵侯@$,以千三百户封@不虞@为$@随成侯@$,以千三百户封@戎奴@为$@从平侯@$。$将军@李"
封赏,随成侯,戎奴,→,111_卫将军骠骑列传,"尉@公孙戎奴@$,各三从$大将军$获王,以千三百户封@朔@为$@涉轵侯@$,以千三百户封@不虞@为$@随成侯@$,以千三百户封@戎奴@为$@从平侯@$。$将军@李沮@$、@李息@及$校尉@豆如意@$有"
封赏,为$,伊即靬,→,111_卫将军骠骑列传," 故$@归义@$$@因淳王复陆支@$、$@楼专王伊即靬@$皆从$骠骑将军$有功,以千三百户封@复陆支@为$@壮侯@$,以千八百户封@伊即靬@为$@众利侯@$。  [12.6] $@从骠侯破奴@$、$@"
封赏,湣王,田婴,→,075_孟尝君列传,=齐=师於徐州，而使人逐田婴。田婴使张丑说楚@威王@，@威王@乃止。田婴相=齐=十一年，@宣王@卒，@湣王@即位。即位三年，而封@田婴@於=薛=。  ## %五月%子立为太子  [2] 初，@田婴@有
师徒,知子,舜,→,001_五帝本纪,。尧辟位凡%二十八年%而崩。百姓悲哀，如丧父母。%三年%，四方莫举乐，以思尧。  [16.1] @尧@知子@丹硃@之不肖，不足授〔天下〕，於是乃权授@舜@。授@舜@，则〔天下〕得其利而@丹硃@病；授@
师徒,舜,丹硃,→,001_五帝本纪,四方莫举乐，以思尧。  [16.1] @尧@知子@丹硃@之不肖，不足授〔天下〕，於是乃权授@舜@。授@舜@，则〔天下〕得其利而@丹硃@病；授@丹硃@，则〔天下〕病而@丹硃@得其利。@尧@曰“终不以〔天
师徒,尧,舜,→,001_五帝本纪,於是乃权授@舜@。授@舜@，则〔天下〕得其利而@丹硃@病；授@丹硃@，则〔天下〕病而@丹硃@得其利。@尧@曰“终不以〔天下〕之病而利一人”，而卒授@舜@以〔天下〕。  [16.2] @尧@崩，%三年%
师徒,怀王,庄王,→,130_太史公自序,59.1] @重黎@业之，@吴回@接之；&殷&之季世，@粥子@牒之。&周&用@熊绎@，@熊渠@是续。@庄王@之贤，乃复国&陈&；既赦@郑伯@，班师@华元@。@怀王@客死，@兰@咎@屈原@；好谀信谗，&
师徒,厉,哀王,→,130_太史公自序,  ## [71] $齐悼惠王$世家 [71.1] 〔天下〕已平，亲属既寡；@悼惠@先壮，实镇东土。@哀王@擅兴，发怒诸@吕@，@驷钧@暴戾，=京师=弗许。@厉@之内淫，祸成@主父@。嘉@肥@股肱，作
师徒,乐毅,乐毅,→,080_乐毅列传,=齐=之利。诸侯害@齐湣王@之骄暴，皆争^合从^与=燕=伐=齐=。@乐毅@还报，@燕昭王@悉起兵，使@乐毅@为$上将军$，@赵惠文王@以$相国$印授@乐毅@。@乐毅@於是并护=赵=、=楚=、=韩=、=
师徒,胶东王,栾大,→,028_封禅书,"其先祀焉。""是岁，$天子$始巡郡县，侵寻於=泰山=矣。  [71] 其春，$乐成侯$上书言@栾大@。@栾大@，=胶东=宫人，故尝与$文成将军$=同师=，已而为@胶东王@$尚方$。而$乐成侯$姊为@康王"
师徒,$言原见$,"$明谓左右曰：""复言$",→,043_赵世家,"求救於&齐&，&齐&曰：""必以$@长安君@$为质，兵乃出。""$@太后@$不肯，$大臣$彊谏。$@太后@$明谓左右曰：""复言$@长安君@$为质者，老妇必唾其面。""$@左师触龙@$言原见$@太后@$，$@"
师徒,信平君,廉颇,→,043_赵世家,将而攻&代&。@廉颇@为@赵@将，破杀@栗腹@，虏@卿秦@、@乐间@。  [32.3] %十六年%，@廉颇@围&燕&。以@乐乘@为$@武襄君@$。率师从$相国@信平君@$助&魏&攻&燕&。&秦&拔我=
师徒,哀王,仪,→,070_张仪列传,伐，以临=周=，*祭器*必出。挟$天子$，按图籍，此王业也。”=秦=王以为然，乃具革*车*三十乘，入@仪@之梁。=齐=果兴师伐之。梁@哀王@恐。@张仪@曰：“王勿患也，请令罢=齐=兵。”乃使其$舍人$
师徒,李信,秦始皇,→,073_白起王翦列传,击荆，荆兵败。还击=魏=，=魏=王降，遂定=魏=地。  ## @李信@惨败@王翦@出山  [10] @秦始皇@既灭三=晋=，走=燕=王，而数破荆师。=秦=将@李信@者，年少壮勇，尝以兵%数千%逐=燕=
师徒,乐毅,"者,岂远%千里%哉!""於是$",→,034_燕召公世家,"$王$之耻,孤之原也。先生视可者,得身事之。""@郭隗@曰:""$王$必欲致士,先从@隗@始。况贤於@隗@者,岂远%千里%哉!""於是$@昭王@$为@隗@改筑*宫*而师事之。@乐毅@自&魏&往,@邹衍@自&"
师徒,釐子,孔丘,→,047_孔子世家,"循墙而走，亦莫敢余侮。饘於是，粥於是，以餬余口。""其恭如是。吾闻〔圣人〕之後，虽不当世，必有达者。今@孔丘@年少好^礼^，其达者欤？吾即没，若必师之。""及@釐子@卒，$@懿子@$与&鲁&人$@南宫敬叔"
师徒,闻,叔孙氏,→,033_鲁周公世家,"曰:""必杀之。""@叔孙氏@之$臣$@戾@$谓其众曰:""无@季氏@与有,孰利?""皆曰:""无@季氏@是无@叔孙氏@。""@戾@曰:""然,救@季氏@!""遂败公师。@孟懿子@闻@叔孙氏@胜,亦杀@郈昭伯@。@郈"
师徒,帝禹,益,→,002_夏本纪,皋陶@卒。封@皋陶@之後於=英=、=六=，或在=许=。而后举@益@，任之政。  [21] %十年%，@帝禹@东^巡狩^，至于=会稽=而崩。以〔天下〕授@益@。%三年%之丧毕，@益@让@帝禹@之子@启@
师徒,子,益,→,002_夏本纪,下〕授@益@。%三年%之丧毕，@益@让@帝禹@之子@启@，而辟居=箕山=之阳。  [21.1] @禹@子@启@贤，〔天下〕属意焉。及@禹@崩，虽授@益@，@益@之佐@禹@日浅，〔天下〕未洽。故诸侯皆去
推荐,帝尧,虞舜,→,001_五帝本纪,慈。欲杀，不可得；即求，尝在侧。  > [!NOTE] > [20] @舜@%年二十%以孝闻。三十而@帝尧@问可用者，$四岳$咸荐@虞舜@，曰可。於是@尧@乃以二女妻@舜@以观其内，使九男与处以观其外
推荐,商均,禹,→,001_五帝本纪, @舜@之践帝位，载$天子$旗，往朝父@瞽叟@，@夔@@夔@唯谨，如子道。封弟@象@为诸侯。@舜@子@商均@亦不肖，@舜@乃豫荐@禹@於天。%十七年%而崩。%三年%丧毕，@禹@亦乃让@舜@子，如@舜@
推荐,共工,鲧,→,001_五帝本纪,哉，惟刑之静哉！  ### 惩办四罪  [15] @讙兜@进言@共工@，@尧@曰不可而试之$工师$，@共工@果淫辟。$四岳$举@鲧@治鸿水，@尧@以为不可，$岳$彊请试之，试之而无功，故百姓不便。~三
推荐,尧,八恺,→,001_五帝本纪,利，谓之“@八恺@”。&高辛氏&有才子八人，世谓之“@八元@”。此十六族者，世济其美，不陨其名。至於@尧@，尧未能举。@舜@举@八恺@，使主后土，以揆百事，莫不时序。举@八元@，使布^五教^于四方，父
推荐,武帝,冯唐,→,102_张释之冯唐列传,及郡国*车*士。  ### [2.4] 晚年与后代  %七年%，@景帝@立，以@唐@为$楚相$，免。@武帝@立，求^贤良^，举@冯唐@。@唐@时年%九十馀%，不能复为官，乃以@唐@子@冯遂@为郎。@遂
推荐,管仲,管仲,→,062_管晏列传,不以为言。已而@鲍叔@事齐@公子小白@，@管仲@事@公子纠@。及@小白@立为@桓公@，@公子纠@死，@管仲@囚焉。@鲍叔@遂进@管仲@。@管仲@既用，任^政^於=齐=，@齐桓公@以霸，九合诸侯，一匡〔
推荐,熊绎,文,→,040_楚世家,曰@熊丽@。@熊丽@生@熊狂@，@熊狂@生@熊绎@。  ## @熊绎@受封与早期世系  [2.4] @熊绎@当@周成王@之时，举@文@、@武@勤劳之後嗣，而封@熊绎@於~楚蛮~，封以$子男$之田，姓&
推荐,灵王,"曰：""",→,040_楚世家,"其何用？""@灵王@曰：""用@桓公@。""时&郑&@子产@在焉。於是&晋&、&宋&、&鲁&、&卫&不往。@灵王@已盟，有骄色。@伍举@曰：""@桀@为=有仍=之会，~有缗~叛之。@纣@为=黎山=之会，~东夷"
推荐,子之,益,→,034_燕召公世家,"今$王$以国让於@子之@,@子之@必不敢受,是$王$与〚尧〛同行也。""&燕&$王$因属国於@子之@,@子之@大重。或曰:""〚禹〛荐@益@,已而以@启@人为$吏$。及老,而以@启@人为不足任乎天下,传之"
推荐,昭王,白起,→,072_穰侯列传,是@仇液@从之。而=秦=果免@楼缓@而=魏=厓相=秦=。  [4] 欲诛吕^礼^，^礼^出奔=齐=。@昭王@%十四年%，=魏=厓举@白起@，使=代=@向寿@将而攻=韩=、=魏=，败之=伊阙=，【斩首】
推荐,"$崩,$",贾生,→,084_屈原贾生列传,"〘马〙而死,无後。@贾生@自伤为傅无状,哭泣%岁馀%,亦死。@贾生@之死时年%三十三%矣。及$@孝文@$崩,$@孝武皇帝@$立,举@贾生@之孙%二人%至$郡守$,而@贾嘉@最好学,世其家,与余通书。至"
敌对,$、,信,↔,092_淮阴侯列传,"=，遂东追@广@至=高密=西。&楚&亦使@龙且@将，号称二十万，救&齐&。  [8.3] $@齐王广@$、@龙且@并军与@信@战，未合。人或说@龙且@曰：""&汉&兵远斗穷战，其锋不可当。&齐&、&楚&"
敌对,昆莫,岑娶,→,123_大宛列传,以@岑娶@为$太子$。@大禄@怒其不得代$太子$也，乃收其诸昆弟，将其众畔，谋攻@岑娶@及@昆莫@。@昆莫@老，常恐@大禄@杀@岑娶@，予@岑娶@%万馀骑%别居，而@昆莫@有%万馀骑%自备，国众分为三
敌对,王子比干,伍子胥,→,087_李斯列传,"缚,居^囹圄^中,仰天而叹曰:""嗟乎,悲夫!不道之君,何可为计哉!昔者〚桀〛杀@关龙逢@,〚纣〛杀$@王子比干@$,$@吴王夫差@$杀@伍子胥@。此三臣者,岂不忠哉,然而不免於死,身死而@所忠@者非也"
敌对,"$既位,患之,乃称疾不听事,与$宦者",高,→,087_李斯列传,"臣弗许,乃召$@始皇@$弟,授之*玺*。  ## [19] 子婴杀@赵高@  [19.1] $@子婴@$既位,患之,乃称疾不听事,与$宦者@韩谈@$及其子谋杀@高@。@高@上谒,请病,因召入,令@韩谈"
敌对,周武王,恶来,→,005_秦本纪,保=西垂=。生@蜚廉@。@蜚廉@生@恶来@。@恶来@有力，@蜚廉@善走，父子俱以材力事&殷&@纣@。@周武王@之伐@纣@，并杀@恶来@。是时@蜚廉@为@纣@石=北方=，还，无所报，为坛=霍太山=而报，
敌对,三父,出子,→,005_秦本纪,[9] @武公@%元年%，伐=彭戏氏=，至于=华山=下，居=平阳封宫=。  [9.1] %三年%，诛@三父@等而【夷三族】，以其杀@出子@也。&郑&@高渠眯@杀其君昭公@@。  [9.2] %十年%，
敌对,子,奚齐,→,005_秦本纪,夷吾@出奔。  [20] %九年%，@齐桓公@会诸侯於=葵丘=。  [21] @晋献公@卒。立@骊姬@子@奚齐@，其臣@里克@杀@奚齐@。@荀息@立@卓子@，@克@又杀@卓子@及@荀息@。@夷吾@使人
敌对,荀息,卓子,→,005_秦本纪,齐桓公@会诸侯於=葵丘=。  [21] @晋献公@卒。立@骊姬@子@奚齐@，其臣@里克@杀@奚齐@。@荀息@立@卓子@，@克@又杀@卓子@及@荀息@。@夷吾@使人请&秦&，求入&晋&。於是@缪公@许之
敌对,重耳,里克,→,005_秦本纪,城，而杀@里克@。  [21.1] @丕郑@闻之，恐，因与@缪公@谋曰：“&晋&人不欲@夷吾@，实欲@重耳@。今背&秦&约而杀@里克@，皆@吕甥@、@郤芮@之计也。原君以利急召@吕@、@郤@，@吕@、
敌对,丕郑,丕郑,→,005_秦本纪,、@郤@至，则更入@重耳@便。”@缪公@许之，使人与@丕郑@归，召@吕@、@郤@。@吕@、@郤@等疑@丕郑@有间，乃言@夷吾@杀@丕郑@。@丕郑@子@丕豹@奔&秦&，说@缪公@曰：“&晋&君无道，百姓
敌对,将兵助,王弟带,→,005_秦本纪,~伐王，王出居&郑&。  [27.1] %二十五年%，@周王@使人告难於&晋&、&秦&。&秦&@缪公@将兵助@晋文公@入@襄王@，杀@王弟带@。  [27.2] %二十八年%，@晋文公@败&楚&於=城
敌对,献公,出子,→,005_秦本纪,~蜀~，取=南郑=。@惠公@卒，@出子@立。  [46] @出子@%二年%，$庶长改$迎@灵公@之子@献公@于=河西=而立之。杀@出子@及其母，沈之渊旁。  [46.1] &秦&以往者数易君，君臣乖乱
敌对,武,桀,→,128_龟策列传,。飘风日起，正昼晦冥。!日月!并蚀，灭息无光。!列星!奔乱，皆绝纪纲。以是观之，安得久长！虽无@汤@@武@，时固当亡。故@汤@伐@桀@，@武王@剋@纣@，其时使然。乃为$天子$，子孙续世；终身@无咎@
敌对,箕子,周太子历,→,128_龟策列传,夸而目巧，教为象郎。将至於天，又有*玉床*。*犀玉*之器，*象箸*而羹。〔圣人〕剖其心，壮士斩其胻。@箕子@恐死，被发佯狂。杀@周太子历@，囚@文王昌@。投之*石*室，将以昔至明。阴兢活之，与之俱亡。
敌对,韩信,龙且,→,016_秦楚之际月表, |    |  %三年%%一月%  |    | |   [r68]  |    |  十一。汉将@韩信@破杀@龙且@。  |  十一  |  四  |    |  @赵王@@张耳@始，汉立之。  
敌对,项梁,庆,→,130_太史公自序,虏。作始皇〔本纪〕第六。  ## [26] @项羽@〔本纪〕 [26.1] &秦&失其道，豪桀并扰；@项梁@业之，@子羽@接之；杀@庆@救&赵&，诸侯立之；诛@婴@背&怀&，〔天下〕非之。作@项羽@〔
敌对,高祖,曹咎,→,019_惠景间侯者年表,事诛，国除。  |    |    |    |    | |  [r19] 中邑  |  以执矛从@高祖@入汉，以$中尉$破@曹咎@，用@吕相@侯，六百户。  |    |  五。%四年%%四月%丙
敌对,曹参,田既,→,094_田儋列传,&梁&，归@彭越@。@彭越@是时居&梁&地，中立，且为&汉&，且为&楚&。@韩信@已杀@龙且@，因令@曹参@进兵破杀@田既@於&胶东&，使@灌婴@破杀&齐&将@田吸@於=千乘=。@韩信@遂平&齐&，乞
敌对,闻,章邯,→,094_田儋列传,，@田角@为$相$，@田间@为将，以距诸侯。  [5] @田荣@之走=东阿=，@章邯@追围之。@项梁@闻@田荣@之急，乃引兵击破@章邯@军=东阿=下。@章邯@走而西，@项梁@因追之。而@田荣@怒&齐&
敌对,厉公,厉公,→,036_陈杞世家,年%，@厉公@所杀@桓公@$太子$@免@之三弟，长曰@跃@，中曰@林@，少曰@杵臼@，共令~蔡人~诱@厉公@以好女，与~蔡人~共杀@厉公@而立@跃@，是为@利公@。@利公@者，@桓公@子也。@利公@立
敌对,灵公,泄冶,→,036_陈杞世家,"其$大夫$@孔宁@、@仪行父@皆通於@夏姬@，衷其衣以戏於朝。@泄冶@谏曰：""君臣淫乱，民何效焉？""@灵公@以告二子，二子请杀@泄冶@，公弗禁，遂杀@泄冶@。%十五年%，@灵公@与二子饮於@夏氏@。公"
敌对,楚惠王,陈湣公,→,036_陈杞世家,王@。@叶公@攻败@白公@，@白公@自杀。  ## @楚惠王灭陈@  [26.26] %二十四年%，@楚惠王@复国，以兵北伐，杀@陈湣公@，遂灭&陈&而有之。是岁，@孔子@卒。  ## 杞国世系  [
敌对,晋灵公,盾,→,039_晋世家,"，未知母之存不，原遗母。""@盾@义之，益与之饭肉。已而为&晋&$宰夫$，@赵盾@弗复知也。%九月%，@晋灵公@饮@赵盾@酒，伏甲将攻@盾@。$公宰$@示眯明@知之，恐@盾@醉不能起，而进曰：""君赐臣，"
敌对,中行寅,赵鞅,→,039_晋世家,&。  [117.133] %十五年%，@赵鞅@使=邯郸=$大夫$@午@，不信，欲杀@午@，@午@与@中行寅@、@范吉射@亲攻@赵鞅@，@鞅@走保=晋阳=。@定公@围=晋阳=。@荀栎@、@韩不信@、@
敌对,、,范,→,039_晋世家,@范吉射@亲攻@赵鞅@，@鞅@走保=晋阳=。@定公@围=晋阳=。@荀栎@、@韩不信@、@魏侈@与@范@、@中行@为仇，乃移兵伐@范@、@中行@。@范@、@中行@反，&晋&君击之，败@范@、@中行@。@
