所属国,类型,名,谥号,别名,父亲,上一任,下一任,出生年,死亡年,登基年,退位年,备注
晋,诸侯侯君,,静公,晋静公,,,,,,,-376,039-040。前376年魏武侯、韩哀侯、赵敬侯废静公，晋绝祀
晋,诸侯侯君,宜臼,靖侯,晋靖侯,厉侯福,厉侯,厘侯司徒,,,-858,-840,039-002。靖侯已来年纪可推，自唐叔至靖侯五世。014表：841年靖侯宜臼十八年，推算登基年-858。十七年周厉王奔彘（共和元年-841）。
晋,诸侯侯君,司徒,厘侯,,,,,,,-840,,014表格提取
晋,诸侯侯君,籍,献侯,,,,,,,-822,,014表格提取
晋,诸侯侯君,弗生,穆侯,晋穆侯,献侯籍,献侯,殇叔（弟，篡位）,,-785,-811,-785,039-003。四年取齐女姜氏为夫人；七年伐条生太子仇；十年伐千亩生少子成师；二十七年卒，弟殇叔自立。014表：811年穆侯弗生元年。
晋,诸侯侯君,殇叔,,,,,,,,-784,,014表格提取
晋,诸侯侯君,仇,文侯,,,,,,,-780,,014表格提取
晋,诸侯侯君,,昭侯,,文侯仇,文侯,孝侯,,-739,-745,-739,039-006。元年封文侯弟成师于曲沃；七年潘父弑昭侯
晋,诸侯侯君,平,孝侯,晋孝侯,昭侯伯,昭侯（被潘父弑）,鄂侯却,,-724,-739,-724,039-006。潘父弑昭侯迎桓叔不克，晋人立昭侯子平为孝侯，诛潘父。十五年曲沃庄伯弑孝侯于翼，晋人立孝侯子郄为鄂侯。014表：739年孝侯元年（昭侯子立）。
晋,诸侯侯君,却,鄂侯,,,,,,,-723,,014表格提取
晋,诸侯侯君,光,哀侯,,,,,,,-717,,014表格提取
晋,诸侯侯君,,小子,,,,,,,-709,,014表格提取
晋,诸侯侯君,侯湣,,,,,,,,-706,,014表格提取
晋,诸侯侯君,称,武公,晋武公,曲沃庄伯,晋侯湣（被武公灭）,献公诡诸,,-677,-678,-677,039-008/009。曲沃武公伐晋侯湣灭之，以宝器赂献周釐王；釐王命武公为晋君，尽并晋地。更号曰晋武公，前即位曲沃通年三十九年。014表：678年晋武公称并晋。
晋,诸侯侯君,,献公,晋献公,武公,晋侯缗（被武公灭）,奚齐（短暂）,,-651,-676,-651,039-009-015。曲沃武公并晋，传子献公；伐骊戎、假虞灭虢，骊姬乱政
晋,诸侯侯君,夷吾,惠公,晋惠公,献公,献公,怀公（子圉，短暂）,,-637,-650,-637,039-016/017。背秦约杀里克，前645年韩原战被虏
晋,诸侯侯君,重耳,文公,晋文公,献公,怀公（子圉，被杀）,襄公,,-628,-636,-628,039-018/019/022/023。流亡19年，前636年入晋即位，前632年城濮之战，春秋霸主
晋,诸侯侯君,,襄公,晋襄公,文公,文公,灵公,,-621,-627,-621,039-024。前627年殽之战败秦
晋,诸侯侯君,,灵公,晋灵公,,襄公,成公,,-607,-620,-607,039-026。侈暴，前607年赵穿弑灵公
晋,诸侯侯君,,成公,,,灵公,景公,,,-606,,039-026。赵穿迎成公即位
晋,诸侯侯君,,厉公,晋厉公,,景公,悼公,,-573,-580,-573,039-031/032。前575年鄢陵之战，前573年被栾书、中行偃杀
晋,诸侯侯君,,悼公,晋悼公,,厉公,平公,,,-572,,039-033/034。前572年即位施德，前569年魏绛和戎
晋,诸侯侯君,彪,平公,,,,,,,-557,,014表格提取
晋,诸侯侯君,去疾,顷公,,,,,,,-525,,014表格提取
晋,诸侯侯君,午,定公,,,,,,,-511,,014表格提取
晋,诸侯侯君,错,出公,,,,,,,-474,,015表格提取
晋,诸侯侯君,忌,哀公,,,,,,,-456,,015表格提取
晋,诸侯侯君,柳,幽公,,,,,,,-437,,015表格提取
晋,诸侯侯君,止,烈公,,,,,,,-419,,015表格提取
晋,诸侯侯君,倾,孝公,,,,,,,-392,,015表格提取
曹,诸侯侯君,,共公,曹共公,,,,,,,,035-015。前632年晋文公虏共公，后复归
曹,诸侯侯君,,悼公,,,,声公,,,,,035-016。八年朝宋，被宋囚；曹立弟野为声公
曹,诸侯侯君,阳,伯阳,,,靖公,,,-487,,-487,035-017。宠公孙彊，宋灭曹（前487年），曹遂绝祀
曹,诸侯侯君,振铎,曹叔,曹叔振铎,周文王,,太伯脾,,,-1046,,035-013。武王封于曹
曹,诸侯侯君,喜,夷伯,曹夷伯,孝伯云,孝伯云,幽伯彊,,,-864,-834,035-013。孝伯云卒，子夷伯喜立；夷伯二十三年周厉王奔于彘（-841年）。014表：841年曹夷伯二十四年，推算登基年-864；834年曹幽伯彊元年，故退位年-834。
曹,诸侯侯君,彊,幽伯,,,,,,,-834,,014表格提取
曹,诸侯侯君,鲜,戴伯,,,,,,,-825,,014表格提取
曹,诸侯侯君,雉,惠伯,,,,,,,-795,,014表格提取
曹,诸侯侯君,,穆公,,,,,,,-759,,014表格提取
曹,诸侯侯君,终生,桓公,,,,,,,-756,,014表格提取
曹,诸侯侯君,射姑,庄公,,,,,,,-701,,014表格提取
曹,诸侯侯君,夷,厘公,,,,,,,-670,,014表格提取
曹,诸侯侯君,,昭公,,,,,,,-661,,014表格提取
曹,诸侯侯君,寿,文公,,,,,,,-617,,014表格提取
曹,诸侯侯君,庐,宣公,,,,,,,-594,,014表格提取
曹,诸侯侯君,负刍,成公,,,,,,,-577,,014表格提取
曹,诸侯侯君,胜,武公,,,,,,,-554,,014表格提取
曹,诸侯侯君,须,平公,,,,,,,-527,,014表格提取
曹,诸侯侯君,,襄公,,,,,,,-514,,014表格提取
曹,诸侯侯君,,隐公,,,,,,,-509,,014表格提取
曹,诸侯侯君,路,靖公,,,,,,,-505,,014表格提取
杞,诸侯侯君,春,简公,,,出公,,,,,-445,036-013。立一年，楚惠王四十四年（前445年）灭杞
杞,诸侯侯君,,东楼公,,,,,,,-1046,,036-012。夏后禹后苗裔，武王封于杞
梁国,汉诸侯王,刘襄,梁平王,,刘买（梁共王）,梁共王,梁王（末任）,,,,,058梁孝王世家。梁共王买子，立三十九年卒，谥为平王。（注意与齐哀王刘襄同名，为不同人）元朔中被削八城。
梁国,汉诸侯王,刘无伤,,,刘襄（梁平王）,梁平王,,,,,,058梁孝王世家。梁平王襄子，立为梁王，事迹不详，史记仅载其名。
梁国,汉诸侯王,刘胜（文帝子，梁怀王）,梁怀王,,文帝刘恒,,（梁孝王刘武接封）,,-168,-178,-168,
梁国,汉诸侯王,刘武,梁孝王,,文帝刘恒,（梁怀王刘胜卒，徙封）,梁共王刘买,,-144,-168,,
梁国,汉诸侯王,刘买,梁共王（梁平王）,梁平王刘襄,梁孝王刘武,梁孝王刘武,（后嗣）,,,-144,,
楚,诸侯侯君,,熊渠,,,,,,,,,040-003。约前880年兴兵伐庸杨粤，自称王，后畏厉王去王号
楚,诸侯侯君,绎,熊绎,,,,,,,-1040,,040-002。周成王时封于楚蛮，居丹阳
楚,诸侯侯君,熊严,,,,,,,,-837,,014表格提取
楚,诸侯侯君,熊霜,,,,,,,,-827,,014表格提取
楚,诸侯侯君,熊徇,,,,,,,,-821,,014表格提取
楚,诸侯侯君,熊鄂,,,,,,,,-799,,014表格提取
楚,诸侯侯君,若敖,,,,,,,,-790,,014表格提取
楚,诸侯侯君,霄敖,,,,,,,,-763,,014表格提取
楚,诸侯侯君,蚡冒,,,,,,,,-757,,014表格提取
楚,诸侯王,通,武王,楚武王、熊通,,,文王,,-690,-740,-690,040-004/005。前704年自立为武王，在位51年，前690年卒师中
楚,诸侯王,赀,文王,楚文王,武王,武王,庄敖（短暂）,,-675,-689,-675,040-005/006。始都郢，前684年伐蔡
楚,诸侯侯君,堵敖谡,,,,,,,,-676,,014表格提取
楚,诸侯王,恽,成王,楚成王,,庄敖（兄弟）,穆王商臣,,-626,-671,-626,040-007-011。前656年齐桓公伐楚，前638年泓之战败宋，前626年被太子商臣逼自杀
楚,诸侯王,商臣,穆王,楚穆王,成王,成王,庄王,,-613,-625,-613,040-011。前626年围成王，成王自杀，商臣立为穆王
楚,诸侯王,,庄王,楚庄王,穆王,穆王,共王,,-591,-613,-591,040-012-016。一鸣惊人，问鼎中原，围宋五月，邲之战败晋，春秋五霸之一
楚,诸侯王,,共王,楚共王,庄王,庄王,康王,,-560,-590,-560,040-017。前575年鄢陵之战被射伤目
楚,诸侯王,昭,康王,,,,,,,-559,,014表格提取
楚,诸侯侯君,熊郏敖,,,,,,,,-544,,014表格提取
楚,诸侯王,,灵王,楚灵王,,郏敖,平王弃疾,,-529,-540,-529,040-018-021。前541年弑郏敖自立，前531年灭蔡，前534年灭陈；前529年弃疾政变，灵王饥死
楚,诸侯王,弃疾,平王,楚平王,,灵王,昭王,,-516,-528,-516,040-022/023。前528年即位，复陈蔡，费无忌谗害太子建，前522年杀伍奢
楚,诸侯王,,昭王,楚昭王,平王,平王,惠王,,-489,-515,-489,040-025-030。前506年吴入郢奔随，申包胥哭秦庭，前489年昭王病卒
楚,诸侯王,,惠王,楚惠王,昭王,昭王,简王,,,-488,,040-031/032。前479年白公胜作乱，前478年灭陈，前447年灭蔡灭杞
楚,诸侯王,仲,简王,,,,,,,-431,,015表格提取
楚,诸侯王,当,声王,,,,,,,-407,,015表格提取
楚,诸侯王,类,悼王,,,,,,,-401,,015表格提取
楚,诸侯王,臧,肃王,,,,,,,-380,,015表格提取
楚,诸侯王,良夫,宣王,,,,,,,-369,,015表格提取
楚,诸侯王,熊商,威王,,,,,,,-339,,015表格提取
楚,诸侯王,,怀王,楚怀王,,,顷襄王,,-296,-328,-296,040-033-036。受张仪欺骗，前299年入秦被囚，前296年卒于秦
楚,诸侯王,,顷襄王,楚顷襄王,怀王,怀王,考烈王,,-263,-298,-263,040-037/038。前278年秦拔郢，迁都寿春
楚,诸侯王,,考烈王,楚考烈王,顷襄王,顷襄王,幽王,,,-262,,040-039。前262年即位，春申君为相；040章末附灭鲁（前256年）
楚,诸侯王,悼,幽王,,,,,,,-237,,015表格提取
楚,诸侯侯君,,负刍,楚王负刍,,,,,,-228,-223,040-040。前223年秦灭楚，王翦、蒙武虏王负刍
楚国,汉诸侯王,刘戊,,楚王戊,楚夷王刘郢,楚夷王刘郢,楚文王刘礼,,-154,,-154,
楚国,汉诸侯王,刘交,楚元王,,太上皇刘煓,,楚夷王刘郢,,-179,-201,,
楚国,汉诸侯王,刘郢,楚夷王,,楚元王刘交,楚元王刘交,楚王刘戊,,,-179,,
楚国,汉诸侯王,刘礼,楚文王,,楚元王刘交,楚王刘戊,楚安王刘道,,-151,-154,,
楚国,汉诸侯王,刘道,楚安王,,楚文王刘礼,楚文王刘礼,楚襄王刘注,,-129,-151,,
楚国,汉诸侯王,刘注,楚襄王,,楚安王刘道,楚安王刘道,楚王刘纯,,-115,-129,,
楚国,汉诸侯王,刘纯,,楚王纯,楚襄王刘注,楚襄王刘注,,,-68,-115,-68,
楚（怀王）,诸侯王,心,楚怀王（义帝）,熊心|义帝,楚怀王孙（民间）,楚王景驹,,,-205,-208,-206,016表。前208年六月项梁立楚怀王孙心为楚王，都盱台。后诸侯尊为义帝，前205年项羽使人弑义帝于江中。
楚（景驹）,诸侯王,景驹,楚王,,,楚隐王陈胜,楚怀王心,,-208,-208,-208,016表。前208年端月秦嘉立景驹为楚王，项梁击杀景驹、秦嘉，灭之。
楚（西楚）,诸侯王,籍,西楚霸王,项羽|项王,项梁之侄（项燕后代）,,,-232,-202,-206,-202,007-001生年前232年，字羽，下相人。007-037自立西楚霸王（前206年），007-065乌江自刎（前202年）。
殷,诸侯王,司马卬,殷王,,,,,,-205,-206,-205,016表。前206年项羽封故赵将司马卬为殷王，都朝歌。前205年汉击降卬，为河内郡。
汉,天子/皇帝,邦,汉高祖,刘邦|刘季|沛公|汉王,太公（刘煓）,,孝惠帝,-256,-195,-202,-195,008-001生于沛丰邑（前256年）。008-063即皇帝位（五年正月=前202年）。008-095高祖驾崩于长乐宫（十二年四月甲辰=前195年）。
汉,天子/皇帝,盈,汉孝惠帝,孝惠帝|刘盈,高祖刘邦,高祖,少帝（前少帝）,-210,-188,-195,-188,009-005太子即位（前195年），009-016孝惠帝在位七年崩（七年秋八月戊寅=前188年）。
汉,诸侯侯君,,吕后,吕娥姁、高皇后,,,,,-180,-195,-180,049-001/002。高祖正后，高祖卒（前195年）后专权，前180年崩，诸吕乱平定
汉,天子/皇帝,恭,前少帝,少帝（前）,孝惠帝（非亲生，惠帝后宫假子）,孝惠帝,后少帝,,-184,-188,-184,009-019太子即位谒高庙（前188年），009-034废少帝幽杀之（前184年），吕太后称制。
汉,天子/皇帝,弘（义）,后少帝,少帝（后）|常山王义,孝惠帝（非亲生）,前少帝,孝文帝,,-180,-184,-180,009-035立常山王义为帝（前184年五月丙辰），009-069清除少帝出宫（前180年），随后被诛。
汉,天子/皇帝,恒,汉孝文帝,文帝|刘恒|代王,高祖刘邦,后少帝,孝景帝,,-157,-180,-157,010-001高祖十一年立为代王（前196年），010-008即天子位（前180年），010-044文帝崩于未央宫（后七年六月己亥=前157年），在位约二十三年。母薄氏（薄太后）。
汉,诸侯侯君,,孝文帝（薄太后子）,代王恒,高祖,,,,,-180,,049-003/004。薄姬子，代王，前180年诸吕乱后立为孝文帝
汉,天子/皇帝,启,汉孝景帝,景帝|刘启,孝文帝,孝文帝,孝武帝,,-141,-157,-141,011-001孝景帝即位（前157年），011-012七国之乱（三年=前154年），011-051孝景帝崩（甲子=前141年）。母窦太后。
汉,诸侯侯君,,孝景帝（窦皇后子）,,孝文帝,,,,,-156,,049-005/007/008/009。窦皇后长男，前150年废栗姬子立王夫人子为太子
汉,天子/皇帝,彻,汉孝武帝,武帝|刘彻,孝景帝,孝景帝,,-156,-87,-141,-87,012-001景帝四年立为胶东王（前153年），景帝七年为太子，孝景十六年即位（前141年）。母王太后。在位约五十四年。生年据《汉书》记载为景帝元年（前156年）。
汉,诸侯王,,汉武帝（王皇后子）,彻,景帝,,,-156,,-140,,049-009-014。王夫人子，前139年得卫子夫，前130年陈皇后被废，立卫子夫为皇后，前88年杀钩弋夫人
江都国,汉诸侯王,刘非,江都易王,,景帝刘启,,江都王刘建,,-128,-152,,
江都国,汉诸侯王,刘建（江都王）,（无谥，自杀国除）,,江都易王刘非,江都易王刘非,,,-121,-128,-121,
河南,诸侯王,申阳,王,,,,,,,-206,,016表格提取
河间国,汉诸侯王,刘福,河间哀王,,刘辟彊（河间文王）,河间文王,,,,,,050楚元王世家。河间文王子，立一年卒，无子，绝后，国除，入于汉。（此河间国为文帝时第一个河间国，非景帝时重置者）
河间国,汉诸侯王,刘不害,河间共王,,刘德（河间献王）,河间献王,河间刚王,,,,,059五宗世家。河间献王德子，立四年卒。（此河间国为景帝时置，非文帝时第一个河间国）
河间国,汉诸侯王,刘基,河间刚王,,刘不害（河间共王）,河间共王,河间顷王,,,,,059五宗世家。河间共王不害子，立十二年卒。
河间国,汉诸侯王,刘授,河间顷王,,刘基（河间刚王）,河间刚王,,,,,,059五宗世家。河间刚王基子。五宗世家仅载至顷王，后事不详。
河间国,汉诸侯王,刘辟彊,河间文王,,刘友（赵幽王）,,河间哀王,,,-178,,050楚元王世家。文帝二年立，取赵之河间郡为河间王，谥文王。立十三年卒。（此河间国早于059五宗所载景帝子刘德的河间国，文帝子辟彊绝后国除，后另置）
河间国,汉诸侯王,刘德,河间献王,,景帝刘启,,（后嗣）,,-129,-155,,
泗水国,汉诸侯王,刘安世,泗水哀王,,刘商（泗水思王）,泗水思王,泗水王（刘贺）,,,,,059五宗世家。泗水思王商子，立十一年卒，无子。
泗水国,汉诸侯王,刘贺,,,刘商（泗水思王）,泗水哀王,,,,,,059五宗世家。泗水思王商子，泗水哀王安世弟，安世无子后立为泗水王。（注意与昌邑王刘贺为不同人）
泗水国,汉诸侯王,刘商（常山宪王子）,泗水王,,常山宪王刘舜,,（后嗣）,,,-113,,
济东国,汉诸侯王,刘彭离,济东王（剽杀人，废）,,梁孝王刘武,,,,-116,-144,-116,
济北,诸侯王,田安,王,,,,,,,-206,,016表格提取
济北国,汉诸侯王,刘兴居,济北王（反诛）,东牟侯,齐悼惠王刘肥,,,,-177,-178,-177,
济北国（后徙菑川）,汉诸侯王,刘志（悼惠王子）,济北王（后徙菑川）,,齐悼惠王刘肥,,,,,-164,,
济南国,汉诸侯王,刘雄渠,济南王（反诛）,,齐悼惠王刘肥,,,,-154,-164,-154,
济川国,汉诸侯王,刘明,济川王（射杀中尉，国除）,,梁孝王刘武,,,,-138,-144,-138,
济阴国,汉诸侯王,刘不识,济阴哀王,,梁孝王刘武,,,,-143,-144,-143,
淮南,诸侯王,英布,王,,,,,,,-203,,016表格提取
淮南国,汉诸侯王,刘长,淮南厉王,,高祖刘邦,,淮南王刘安,,-174,-195,-174,
淮南国,汉诸侯王,刘安,（淮南王，谋反自杀，无谥）,,淮南厉王刘长,淮南厉王刘长,,,-122,-164,-122,
清河国,汉诸侯王,刘乘,清河哀王,,景帝刘启,,,,-136,-147,-136,
滇,诸侯王,尝羌,滇王,滇王尝羌,,庄蹻,,,,,,116-004元狩元年张骞出使大夏，滇王尝羌留汉使求道西。116-008元封二年天子发兵击灭劳洸、靡莫，临滇，滇王举国降，赐滇王王印。
滇,诸侯王,庄蹻,滇王,庄王,,,尝羌,,,-279,,楚威王将军。率兵至滇池，因秦攻楚断归路，以其众王滇，变服从俗。滇国始王。见西南夷列传116-002。
燕,诸侯侯君,,惠侯,,,,釐侯,,,,,034-004。召公下九世至惠侯，当周厉王共和之时（前841年）
燕,诸侯侯君,,庄公,,,,,,,,,034-005。二十七年（前663年）山戎侵燕，齐桓公救燕
燕,诸侯侯君,召公奭,召公,召公奭,,,,,,-1046,,034-001。武王灭纣封召公奭于北燕
燕,诸侯侯君,,惠侯,燕惠侯,,,釐侯庄,,,-864,-826,034-004。召公下九世至惠侯，当周厉王共和之时（前841年）。014表：841年燕惠侯二十四年，推算登基年-864；826年燕釐侯庄元年，故退位年-826。
燕,诸侯侯君,庄,厘侯,,,,,,,-826,,014表格提取
燕,诸侯侯君,,顷侯,,,,,,,-790,,014表格提取
燕,诸侯侯君,,哀侯,,,,,,,-766,,014表格提取
燕,诸侯侯君,,郑侯,,,,,,,-764,,014表格提取
燕,诸侯侯君,,穆侯,,,,,,,-728,,014表格提取
燕,诸侯侯君,,宣侯,,,,,,,-710,,014表格提取
燕,诸侯侯君,,桓侯,,,,,,,-697,,014表格提取
燕,诸侯侯君,,襄公,,,,,,,-657,,014表格提取
燕,诸侯侯君,,桓公,,,,,,,-617,,014表格提取
燕,诸侯侯君,,宣公,,,,,,,-601,,014表格提取
燕,诸侯侯君,,昭公,,,,,,,-586,,014表格提取
燕,诸侯侯君,,武公,,,,,,,-573,,014表格提取
燕,诸侯侯君,,懿公,,,,,,,-548,,014表格提取
燕,诸侯侯君,,惠公,,,,悼公,,,-544,-535,034-006。多宠姬，大夫共诛姬宋，惠公惧奔齐，至燕而死，燕立悼公
燕,诸侯侯君,,悼公,,,,,,,-535,,014表格提取
燕,诸侯侯君,,共公,,,,,,,-528,,014表格提取
燕,诸侯侯君,,平公,,,,,,,-523,,014表格提取
燕,诸侯侯君,,简公,,,,,,,-504,,014表格提取
燕,诸侯侯君,,献公,,,,,,,-492,,014表格提取
燕,诸侯侯君,,孝公,,,,,,,-464,,015表格提取
燕,诸侯侯君,,成公,,,,,,,-449,,015表格提取
燕,诸侯侯君,,湣公,,,,,,,-433,,015表格提取
燕,诸侯侯君,,厘公,,,,,,,-402,,015表格提取
燕,诸侯侯君,,桓公,,,,,,,-372,,015表格提取
燕,诸侯侯君,,文公,,,,,,-333,-361,-333,034-008。二十八年（前334年）苏秦说文公
燕,诸侯王,,易王,,,,,,,-332,,015表格提取
燕,诸侯侯君,,哙,燕王哙,,文公,昭王,,-314,-320,-314,034-009/010。前318年禅位子之，前314年齐破燕，哙死
燕,诸侯王,平,昭王,燕昭王,哙,哙,惠王,,-279,-311,-279,034-011/012。前311年即位，前284年以乐毅伐齐大捷
燕,诸侯王,,惠王,燕惠王,昭王,昭王,,,,-279,,034-013。疑乐毅，使骑劫代将，齐田单复国
燕,诸侯王,,武成王,,,,,,,-271,,015表格提取
燕,诸侯王,,孝王,,,,,,,-257,,015表格提取
燕,诸侯王,喜,燕王喜,,,,,,-222,-254,-222,034-014/015/016。前227年荆轲刺秦，前222年秦灭燕
燕国,汉诸侯王,刘定国,,燕王定国,燕康王刘嘉,燕康王刘嘉,,,-127,,-127,
燕国,汉诸侯王,刘建（燕灵王）,燕灵王,,高祖刘邦,（卢绾叛降后接任）,（燕国除；后刘泽封燕）,,-180,-195,-180,
燕国,汉诸侯王,刘泽,燕敬王,琅邪王（曾封）,（诸刘远属，不详）,（燕灵王刘建卒后国除，后重封）,燕康王刘嘉,,-178,-180,,
燕国,汉诸侯王,刘嘉,燕康王,,燕敬王刘泽,燕敬王刘泽,燕王刘定国,,,-178,,
燕国,汉诸侯王,刘旦,（燕王，谋反自杀，无谥）,,武帝刘彻,,（广阳王刘建，宣帝时封）,,-80,-117,-80,
燕（臧荼）,诸侯王,臧荼,燕王,,,韩广,,,-202,-206,-202,016表。前206年项羽封臧荼为燕王，都蓟。汉五年卢绾为燕王，臧荼反，刘邦击灭之。
燕（韩广）→辽东,诸侯王,韩广,燕王→辽东王,,,,臧荼,,-205,-209,-206,016表。前209年九月韩广为赵略地至蓟自立为燕王。项羽分燕为二，封臧荼为燕王，韩广为辽东王。前205年臧荼击韩广于无终，灭之。
真定国,汉诸侯王,刘平（常山宪王子）,真定王,,常山宪王刘舜,,（后嗣）,,,-113,,
秦,诸侯侯君,,秦仲,,公伯,公伯,庄公,,-822,,-822,005-007秦仲伐戎战死（前822年），在位二十三年为戎所杀。周宣王时为大夫。
秦,诸侯侯君,,庄公,,秦仲,秦仲,襄公,,-778,-821,-778,005-008庄公破西戎，005-009庄公在位四十四年卒（前778年），西垂大夫，子襄公代立。
秦,诸侯侯君,,襄公,秦襄公,庄公,庄公,文公,,-766,-778,-766,005-009襄公立，005-010救周抗戎（前771年），005-011受封建国（十二年=前766年）伐戎至岐卒。
秦,诸侯侯君,,文公,秦文公,襄公,襄公,宁公（竫公之子）,,-716,-765,-716,005-012文公东迁营邑（元年=前765年），005-013初设史官（十三年=前753年），005-015制三族之罪（二十年），005-016文公在位五十年卒（前716年），葬西山，子竫公立（早卒），孙宁公立。
秦,诸侯侯君,,宁公,秦宁公,竫公（文公子）,竫公（早卒）,武公（经出子废立）,,-704,-716,-704,005-017宁公迁平阳伐荡社，005-018宁公卒出子废立之乱（前704-前698年）。
秦,诸侯侯君,,武公,秦武公,宁公,出子（废）,德公（白）,,-678,-697,-678,005-019武公诛三父（元年=前697年），005-020武公在位二十年卒（前678年），以人殉葬，弟德公立。
秦,诸侯侯君,白,德公,秦德公,宁公,武公,宣公,,-676,-677,-676,005-021德公居雍立伏祭（元年=前677年，二年卒），迁居雍城。
秦,诸侯侯君,,宣公,秦宣公,德公,德公,成公,,-664,-675,-664,005-022宣公在位（前675-前664年）。005-023战晋于河阳（四年=前672年）。
秦,诸侯侯君,,成公,秦成公,德公,宣公,缪公,,-660,-663,-660,005-022成公在位（前663-前660年）。
秦,诸侯侯君,,缪公,秦穆公|秦缪公,德公,成公,康公,,-621,-659,-621,005-024用百里傒蹇叔（五年=前655年），005-026韩原之战（十五年=前645年），005-035伐戎霸西戎，005-036缪公在位三十九年卒（前621年），以百七十七人殉葬。
秦,诸侯侯君,,康公,秦康公,缪公,缪公,共公,,-609,-620,-609,005-037康公与晋交战（元年=前620年至六年）。
秦,诸侯侯君,,共公,秦共公,康公,康公,桓公,,-604,-608,-604,005-038共公桓公世系（前608-前604年）。
秦,诸侯侯君,,桓公,秦桓公,共公,共公,景公,,-577,-603,-577,005-038桓公立，005-039桓公背盟败于晋（前580年）。
秦,诸侯侯君,,景公,秦景公,桓公,桓公,哀公,,-537,-576,-537,005-040景公与晋争战（十五年=前562年），005-043景公在位四十年卒（前537年），哀公立。
秦,诸侯侯君,,哀公,秦哀公,景公,景公,夷公,,-501,-536,-501,005-044哀公三十一年秦救楚败吴（前506年）。005-045哀公至悼公世系。
秦,诸侯侯君,,悼公,秦悼公,,惠公,厉共公,,-477,-490,-477,005-045夷公-惠公-悼公（前500-前477年）。
秦,诸侯侯君,,厉共公,秦厉共公,悼公,悼公,躁公,,-443,-476,-443,005-046厉共公十六年伐大荔拓地（前461年），005-048伐义渠（三十三年），005-049厉共公在位三十四年卒（前443年）。
秦,诸侯侯君,,躁公,秦躁公,厉共公,厉共公,怀公,,-429,-442,-429,005-050躁公在位十四年卒（前429年），弟怀公立。
秦,诸侯侯君,,怀公,秦怀公,厉共公,躁公,灵公,,-425,-428,-425,005-051怀公在位四年被庶长晁围迫自杀（前425年）。
秦,诸侯侯君,,灵公,秦灵公,,怀公,简公,,-412,-424,-412,005-052灵公六年与晋战少梁（前419年），005-053灵公在位十三年卒（前412年），简公（悼子）立。
秦,诸侯侯君,,简公,秦简公,,灵公（献公之父）,惠公,,-400,-411,-400,005-054简公六年令吏带剑筑城（前409年），005-055简公在位十六年卒（前399年），惠公立。
秦,诸侯侯君,,惠公,秦惠公,简公,简公,出子,,-387,-399,-387,005-056惠公十三年伐蜀取南郑（前387年）。
秦,诸侯侯君,,出子,秦出子,惠公,惠公,献公,,-385,-386,-385,005-057出子在位二年被庶长改所杀（前385年），献公立。
秦,诸侯侯君,,献公,秦献公,灵公,出子,孝公,,-361,-384,-361,005-058献公止从死，005-059献公城栎阳，005-064石门之战（二十一年=前364年），005-066献公在位二十四年卒（前361年），孝公立。
秦,诸侯侯君,,孝公,秦孝公,献公,献公,惠文君,-381,-338,-361,-338,005-060孝公出生（献公四年正月庚寅=前381年），005-066孝公立，005-070商鞅变法（三年=前359年），005-081孝公卒诛商鞅（前338年）。
秦,诸侯侯君,,惠文君,秦惠文王|惠王,孝公,孝公,武王,,-311,-337,-311,005-082惠文君元年即位（前337年），005-093更元（十四年=前324年）称王，005-103惠王卒武王立（前311年）。
秦,诸侯王,,武王,秦武王,惠文王,惠文王,昭襄王,,-307,-310,-307,005-104武王元年（前310年），005-107武王举鼎而死（四年八月=前307年）。
秦,诸侯王,,昭襄王,秦昭王|秦昭襄王,惠文王,武王,孝文王,,-251,-306,-251,005-108昭襄王立宣太后（前306年），005-116白起伊阙之战，005-135长平之战（四十七年=前260年），005-143昭襄王在位五十六年秋卒（前251年）。
秦,诸侯王,,孝文王,秦孝文王,昭襄王,昭襄王,庄襄王,,-250,-250,-250,005-144孝文王即位三日卒（前250年）。安国君为太子，宣太后薨（五-四十二年=前265年）。
秦,诸侯王,,庄襄王,秦庄襄王,孝文王,孝文王,秦王政（始皇）,,-247,-249,-247,005-145庄襄王元年灭东周（前249年），005-147五国击秦庄襄王卒（三年=前247年）。
秦,天子/皇帝,政,秦始皇帝,嬴政|始皇,庄襄王,庄襄王,二世皇帝,-259,-210,-247,-210,006-001生于邯郸（昭王四十八年正月=前259年），006-002秦王政即位（年十三岁=前247年），006-045议定皇帝称号（二十六年=前221年）统一天下，006-082崩于沙丘（三十七年七月丙寅=前210年）。
秦,天子/皇帝,胡亥,二世皇帝,秦二世,秦始皇,秦始皇,子婴,,-207,-210,-207,006-084胡亥即位（前210年），006-100赵高弑二世（前207年）。
秦,天子/皇帝,,子婴,秦王子婴,,二世皇帝,,,-206,-207,-206,006-101子婴立为秦王（前207年），006-102诛赵高，006-103子婴降沛公（前206年），006-104项籍灭秦子婴被杀。
箕子朝鲜,诸侯侯君,,箕子,,,,,,,-1046,,商纣王亲戚，谏纣被囚。周武王克殷后封于朝鲜，陈洪范九畴。见宋微子世家038-005。箕子朝鲜先于卫氏朝鲜。
翟,诸侯王,董翳,翟王,,,,,,-205,-206,-205,016表。前206年项羽封故秦将董翳为翟王，都高奴。前205年翳降汉，国除。
胶东,诸侯王,田市,王,,,,,,,-206,,016表格提取
